Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time(time.perf_counter()),Inference Time(time.perf_counter()
led-display,AdaBoost,1,"{'clf__n_estimators': 701, 'clf__learning_rate': 0.8500000000000001, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=28,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.6635514018691588,0.9782639404106732,0.9989473684210528,0.6964219114219115,0.21942920846712224,0.8235066019881316,39.52,0.16
led-display,AdaBoost,2,"{'clf__n_estimators': 351, 'clf__learning_rate': 0.25, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=36,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.6568627450980392,0.9749397633689358,0.9989130434782608,0.7161616161616162,0.1753973646996087,0.7502548609939806,38.33,0.06
led-display,AdaBoost,3,"{'clf__n_estimators': 551, 'clf__learning_rate': 0.7500000000000001, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=22,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.6039603960396039,0.9724664224664225,0.984387351778656,0.6331746031746032,0.21723627821453906,0.7895938751500824,38.87,0.1
led-display,AdaBoost,4,"{'clf__n_estimators': 1, 'clf__learning_rate': 0.25, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=22,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.7524752475247525,0.924113446939534,0.9945054945054944,0.7631002331002331,0.1403242651068738,0.7724553369395599,38.5,0.0
led-display,AdaBoost,5,"{'clf__n_estimators': 551, 'clf__learning_rate': 0.9000000000000001, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=15,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.65,0.9844311458502958,0.9988888888888888,0.6600610500610501,0.19549070948863329,0.7984924716329196,45.09,0.14
led-display,AdaBoost,6,"{'clf__n_estimators': 301, 'clf__learning_rate': 0.9000000000000001, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=8,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.7272727272727273,0.9775130612209264,0.9988764044943822,0.7324999999999999,0.1975068871153311,0.7942472975222177,38.36,0.05
led-display,AdaBoost,7,"{'clf__n_estimators': 851, 'clf__learning_rate': 0.8500000000000001, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=8,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.6868686868686869,0.972993436027144,0.9821473158551812,0.6896070596070596,0.1806760655705157,0.7854685311375185,39.5,0.19
led-display,AdaBoost,8,"{'clf__n_estimators': 251, 'clf__learning_rate': 0.2, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=48,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.6288659793814433,0.9644550462137392,0.9897596656217346,0.6465222277722278,0.2186971273332698,0.8008784152814469,39.58,0.04
led-display,AdaBoost,9,"{'clf__n_estimators': 951, 'clf__learning_rate': 0.9000000000000001, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=15,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.711340206185567,0.9541078192701641,0.9988505747126436,0.7463636363636363,0.20734380342807984,0.8058050278286281,41.11,0.21
led-display,AdaBoost,10,"{'clf__n_estimators': 151, 'clf__learning_rate': 0.7000000000000001, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=48,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.7525773195876289,0.9758468809992468,0.9988764044943822,0.7572727272727272,0.18262099746462213,0.8091946477433893,38.24,0.03
led-display,LogitBoost,1,"{'clf__n_estimators': 601, 'clf__learning_rate': 0.1, 'clf__base_estimator': DecisionTreeRegressor(criterion='mse', max_depth=1, max_features=None,
                      max_leaf_nodes=None, min_impurity_decrease=0.0,
                      min_impurity_split=None, min_samples_leaf=1,
                      min_samples_split=2, min_weight_fraction_leaf=0.0,
                      presort=False, random_state=42, splitter='best')}",0.6728971962616822,0.9782308265140024,0.996842105263158,0.6921794871794871,0.15347310784464402,0.7937523200355847,274.63,0.3
led-display,LogitBoost,2,"{'clf__n_estimators': 501, 'clf__learning_rate': 0.45, 'clf__base_estimator': DecisionTreeRegressor(criterion='mse', max_depth=1, max_features=None,
                      max_leaf_nodes=None, min_impurity_decrease=0.0,
                      min_impurity_split=None, min_samples_leaf=1,
                      min_samples_split=2, min_weight_fraction_leaf=0.0,
                      presort=False, random_state=42, splitter='best')}",0.7254901960784313,0.9749280756644008,0.9956521739130434,0.7318001443001443,0.13397028559721408,0.7409285509121786,268.93,0.25
led-display,LogitBoost,3,"{'clf__n_estimators': 601, 'clf__learning_rate': 0.1, 'clf__base_estimator': DecisionTreeRegressor(criterion='mse', max_depth=1, max_features=None,
                      max_leaf_nodes=None, min_impurity_decrease=0.0,
                      min_impurity_split=None, min_samples_leaf=1,
                      min_samples_split=2, min_weight_fraction_leaf=0.0,
                      presort=False, random_state=42, splitter='best')}",0.6831683168316832,0.9537362637362636,0.9978260869565216,0.7292412244618127,0.14195363814929035,0.7633539625607539,274.82,0.3
led-display,LogitBoost,4,"{'clf__n_estimators': 601, 'clf__learning_rate': 0.1, 'clf__base_estimator': DecisionTreeRegressor(criterion='mse', max_depth=1, max_features=None,
                      max_leaf_nodes=None, min_impurity_decrease=0.0,
                      min_impurity_split=None, min_samples_leaf=1,
                      min_samples_split=2, min_weight_fraction_leaf=0.0,
                      presort=False, random_state=42, splitter='best')}",0.7722772277227723,0.9713794659446832,0.9967032967032968,0.8003968253968253,0.13327204196769413,0.7702939759836562,272.34,0.3
led-display,LogitBoost,5,"{'clf__n_estimators': 601, 'clf__learning_rate': 0.1, 'clf__base_estimator': DecisionTreeRegressor(criterion='mse', max_depth=1, max_features=None,
                      max_leaf_nodes=None, min_impurity_decrease=0.0,
                      min_impurity_split=None, min_samples_leaf=1,
                      min_samples_split=2, min_weight_fraction_leaf=0.0,
                      presort=False, random_state=42, splitter='best')}",0.72,0.9733200347391848,0.9988888888888888,0.7430808080808079,0.15568301912628976,0.792471981872755,277.91,0.41
led-display,LogitBoost,6,"{'clf__n_estimators': 601, 'clf__learning_rate': 0.1, 'clf__base_estimator': DecisionTreeRegressor(criterion='mse', max_depth=1, max_features=None,
                      max_leaf_nodes=None, min_impurity_decrease=0.0,
                      min_impurity_split=None, min_samples_leaf=1,
                      min_samples_split=2, min_weight_fraction_leaf=0.0,
                      presort=False, random_state=42, splitter='best')}",0.7373737373737373,0.9550267086222144,0.9988764044943822,0.7485056610056608,0.14008536890857287,0.7834647361138783,274.85,0.3
led-display,LogitBoost,7,"{'clf__n_estimators': 751, 'clf__learning_rate': 0.8, 'clf__base_estimator': DecisionTreeRegressor(criterion='mse', max_depth=1, max_features=None,
                      max_leaf_nodes=None, min_impurity_decrease=0.0,
                      min_impurity_split=None, min_samples_leaf=1,
                      min_samples_split=2, min_weight_fraction_leaf=0.0,
                      presort=False, random_state=42, splitter='best')}",0.7171717171717171,0.9234908256537472,0.9865168539325844,0.7449603174603174,0.14173476380490338,0.7730522364153702,277.39,0.37
led-display,LogitBoost,8,"{'clf__n_estimators': 601, 'clf__learning_rate': 0.1, 'clf__base_estimator': DecisionTreeRegressor(criterion='mse', max_depth=1, max_features=None,
                      max_leaf_nodes=None, min_impurity_decrease=0.0,
                      min_impurity_split=None, min_samples_leaf=1,
                      min_samples_split=2, min_weight_fraction_leaf=0.0,
                      presort=False, random_state=42, splitter='best')}",0.7010309278350515,0.9621968686713964,0.9988505747126436,0.7185947385947387,0.15230683273268625,0.7744247660686937,276.52,0.31
led-display,LogitBoost,9,"{'clf__n_estimators': 201, 'clf__learning_rate': 0.4, 'clf__base_estimator': DecisionTreeRegressor(criterion='mse', max_depth=1, max_features=None,
                      max_leaf_nodes=None, min_impurity_decrease=0.0,
                      min_impurity_split=None, min_samples_leaf=1,
                      min_samples_split=2, min_weight_fraction_leaf=0.0,
                      presort=False, random_state=42, splitter='best')}",0.7216494845360825,0.9588388605243664,0.9988505747126436,0.7455982905982906,0.13573947704885553,0.7704142013068094,273.5,0.14
led-display,LogitBoost,10,"{'clf__n_estimators': 601, 'clf__learning_rate': 0.1, 'clf__base_estimator': DecisionTreeRegressor(criterion='mse', max_depth=1, max_features=None,
                      max_leaf_nodes=None, min_impurity_decrease=0.0,
                      min_impurity_split=None, min_samples_leaf=1,
                      min_samples_split=2, min_weight_fraction_leaf=0.0,
                      presort=False, random_state=42, splitter='best')}",0.7319587628865979,0.9507560569609488,0.9988764044943822,0.7511235986235987,0.13612984293617816,0.7870418166364614,280.08,0.44
cylinder-bands,MadaBoost,1,"{'clf__n_estimators': 601, 'clf__learning_rate': 0.7500000000000001, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=15,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.4807692307692308,0.7,0.59375,0.4457735247208932,0.553125,0.4123543123543124,14.58,0.01
cylinder-bands,MadaBoost,2,"{'clf__n_estimators': 901, 'clf__learning_rate': 0.1, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=8,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.5384615384615384,0.5625,0.55,0.5212121212121212,0.5203125,0.6507774686831245,17.9,0.11
cylinder-bands,MadaBoost,3,"{'clf__n_estimators': 251, 'clf__learning_rate': 0.05, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=8,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.6470588235294118,0.8387096774193549,0.65,0.625,0.6975806451612904,0.7242152151456105,14.74,0.05
cylinder-bands,MadaBoost,4,"{'clf__n_estimators': 301, 'clf__learning_rate': 0.3, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=2,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.35294117647058826,0.3870967741935484,0.75,0.3408385093167702,0.33225806451612905,0.5326175459713705,14.94,0.05
cylinder-bands,MadaBoost,5,"{'clf__n_estimators': 801, 'clf__learning_rate': 0.1, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=28,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.5882352941176471,0.6774193548387096,0.55,0.5649671052631579,0.5637096774193547,0.6406348829854522,13.59,0.0
cylinder-bands,MadaBoost,6,"{'clf__n_estimators': 851, 'clf__learning_rate': 0.8500000000000001, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=8,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.6470588235294118,0.8709677419354839,0.6,0.6292682926829268,0.6258064516129033,0.7139684845304188,17.43,0.11
cylinder-bands,MadaBoost,7,"{'clf__n_estimators': 251, 'clf__learning_rate': 0.05, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=8,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.5686274509803921,0.7096774193548387,0.65,0.5330357142857143,0.4032258064516129,0.5696608389005576,16.4,0.03
cylinder-bands,MadaBoost,8,"{'clf__n_estimators': 851, 'clf__learning_rate': 0.8500000000000001, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=8,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.6078431372549019,0.7419354838709677,0.65,0.5743243243243243,0.5387096774193548,0.6021033411526716,18.24,0.15
cylinder-bands,MadaBoost,9,"{'clf__n_estimators': 551, 'clf__learning_rate': 0.35000000000000003, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=2,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.6666666666666666,0.6774193548387096,0.6,0.6497975708502024,0.5951612903225807,0.7282360931372059,16.36,0.1
cylinder-bands,MadaBoost,10,"{'clf__n_estimators': 851, 'clf__learning_rate': 0.7500000000000001, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=8,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.8823529411764706,0.03225806451612903,0.0,0.8846153846153846,0.9612903225806452,0.9833419584842734,19.06,0.17
cylinder-bands,AdaBoost,1,"{'clf__n_estimators': 301, 'clf__learning_rate': 0.3, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=2,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.5961538461538461,0.65,0.75,0.5576576576576577,0.459375,0.3943779157791577,15.36,0.05
cylinder-bands,AdaBoost,2,"{'clf__n_estimators': 301, 'clf__learning_rate': 0.3, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=2,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.6923076923076923,0.84375,0.55,0.6766917293233083,0.6921875000000001,0.7442044533809837,14.38,0.06
cylinder-bands,AdaBoost,3,"{'clf__n_estimators': 901, 'clf__learning_rate': 0.1, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=8,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.7058823529411765,0.8387096774193549,0.5,0.6944444444444444,0.8,0.8169110892114103,17.4,0.15
cylinder-bands,AdaBoost,4,"{'clf__n_estimators': 551, 'clf__learning_rate': 0.15000000000000002, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=1,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.4313725490196079,0.5161290322580645,0.7,0.4095238095238095,0.3741935483870968,0.5585420199623886,14.85,0.1
cylinder-bands,AdaBoost,5,"{'clf__n_estimators': 901, 'clf__learning_rate': 0.1, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=15,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.6274509803921569,0.7419354838709677,0.55,0.6029411764705883,0.5959677419354839,0.6587602783048704,13.99,0.01
cylinder-bands,AdaBoost,6,"{'clf__n_estimators': 551, 'clf__learning_rate': 0.35000000000000003, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=2,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.7058823529411765,0.8387096774193549,0.6,0.7136363636363636,0.7290322580645161,0.8279457561078662,14.91,0.09
cylinder-bands,AdaBoost,7,"{'clf__n_estimators': 301, 'clf__learning_rate': 0.3, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=2,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.7058823529411765,0.7419354838709677,0.35,0.6928571428571428,0.7048387096774194,0.8270011934988295,14.29,0.04
cylinder-bands,AdaBoost,8,"{'clf__n_estimators': 301, 'clf__learning_rate': 0.9000000000000001, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=8,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.6470588235294118,0.8387096774193549,0.7,0.6292682926829268,0.5467741935483871,0.6024859892572964,15.98,0.06
cylinder-bands,AdaBoost,9,"{'clf__n_estimators': 851, 'clf__learning_rate': 0.8500000000000001, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=8,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.6078431372549019,0.6774193548387096,0.5,0.5887096774193548,0.6322580645161291,0.7152630617175791,17.26,0.15
cylinder-bands,AdaBoost,10,"{'clf__n_estimators': 851, 'clf__learning_rate': 0.7500000000000001, 'clf__base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=8,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=42, splitter='best')}",0.8431372549019608,0.03225806451612903,0.0,0.8571428571428572,0.967741935483871,0.9800487512035684,18.02,0.11
cylinder-bands,LogitBoost,1,"{'clf__n_estimators': 301, 'clf__learning_rate': 0.3, 'clf__base_estimator': DecisionTreeRegressor(criterion='mse', max_depth=2, max_features=None,
                      max_leaf_nodes=None, min_impurity_decrease=0.0,
                      min_impurity_split=None, min_samples_leaf=1,
                      min_samples_split=2, min_weight_fraction_leaf=0.0,
                      presort=False, random_state=42, splitter='best')}",0.5769230769230769,0.75,0.71875,0.5208333333333334,0.43125,0.33767689555808345,48.46,0.03
cylinder-bands,LogitBoost,2,"{'clf__n_estimators': 101, 'clf__learning_rate': 0.2, 'clf__base_estimator': DecisionTreeRegressor(criterion='mse', max_depth=28, max_features=None,
                      max_leaf_nodes=None, min_impurity_decrease=0.0,
                      min_impurity_split=None, min_samples_leaf=1,
                      min_samples_split=2, min_weight_fraction_leaf=0.0,
                      presort=False, random_state=42, splitter='best')}",0.6730769230769231,0.65625,0.3,0.6688888888888889,0.68359375,0.7532270657270658,47.58,0.01
